,MaxAccX,MinAccX,1stQuartileAccX,Delta1stQuartileMinAccX,2ndQuartileAccX,3rdQuartileAccX,Delta3rdQuartileMaxAccX,DeltaMinMaxAccX,StdDevAccX,MaxDiffAccX,MinDiffAccX,1stQuartileDiffAccX,Delta1stQuartileMinDiffAccX,2ndQuartileDiffAccX,3rdQuartileDiffAccX,Delta3rdQuartileMaxDiffAccX,DeltaMinMaxDiffAccX,StdDevDiffAccX,MaxAccY,MinAccY,1stQuartileAccY,Delta1stQuartileMinAccY,2ndQuartileAccY,3rdQuartileAccY,Delta3rdQuartileMaxAccY,DeltaMinMaxAccY,StdDevAccY,MaxDiffAccY,MinDiffAccY,1stQuartileDiffAccY,Delta1stQuartileMinDiffAccY,2ndQuartileDiffAccY,3rdQuartileDiffAccY,Delta3rdQuartileMaxDiffAccY,DeltaMinMaxDiffAccY,StdDevDiffAccY,MaxAccZ,MinAccZ,1stQuartileAccZ,Delta1stQuartileMinAccZ,2ndQuartileAccZ,3rdQuartileAccZ,Delta3rdQuartileMaxAccZ,DeltaMinMaxAccZ,StdDevAccZ,MaxDiffAccZ,MinDiffAccZ,1stQuartileDiffAccZ,Delta1stQuartileMinDiffAccZ,2ndQuartileDiffAccZ,3rdQuartileDiffAccZ,Delta3rdQuartileMaxDiffAccZ,DeltaMinMaxDiffAccZ,StdDevDiffAccZ,SourceFile,Category
18,-0.06703764945268631,-0.11013327538967133,-0.0933738648891449,0.016759410500526428,-0.08978256583213806,-0.08708908408880234,0.020051434636116028,0.043095625936985016,0.0050783874135532335,0.021547816693782806,-0.0347159206867218,-0.004788398742675781,0.02992752194404602,0.0,0.004788398742675781,0.016759417951107025,0.05626373738050461,0.006638945185044378,0.1604115068912506,0.13287819921970367,0.14484919607639313,0.011970996856689453,0.14844051003456116,0.15083470940589905,0.009576797485351562,0.027533307671546936,0.004624250911407508,0.017956510186195374,-0.016759410500526428,-0.004788398742675781,0.011971011757850647,0.0,0.004788398742675781,0.013168111443519592,0.0347159206867218,0.006255726265756805,9.716867446899414,9.677363395690918,9.68933391571045,0.01197052001953125,9.692925453186035,9.696516990661621,0.02035045623779297,0.039504051208496094,0.0059110535754768245,0.022745132446289062,-0.02992725372314453,-0.004788398742675781,0.02513885498046875,0.0,0.005985260009765625,0.016759872436523438,0.052672386169433594,0.008346636964123426,./Data/Curated/Off/Experiment19.csv,Off
121,0.047884032130241394,-0.22026655077934265,-0.1173158809542656,0.10295066982507706,-0.08978256583213806,-0.05626374110579491,0.1041477732360363,0.26815058290958405,0.05547587908090332,0.24779986962676048,-0.25737668573856354,-0.047884032130241394,0.20949265360832214,-0.00119710061699152,0.04429273307323456,0.20350713655352592,0.505176555365324,0.09901435520554769,0.3866635859012604,0.016759412363171577,0.2298433631658554,0.21308395080268383,0.2603694349527359,0.2959831953048706,0.09068039059638977,0.3699041735380888,0.05321286063579922,0.2837129067629576,-0.21068975143134594,-0.07721300050616264,0.1334767509251833,0.0011970996856689453,0.0694318450987339,0.21428106166422367,0.4944026581943035,0.08308048764730318,9.835380554199219,9.524134635925293,9.621099472045898,0.09696483612060547,9.657012939453125,9.716867685317993,0.11851286888122559,0.3112459182739258,0.06863382897646621,0.21188735961914062,-0.19752120971679688,-0.08738827705383301,0.11013293266296387,-0.0005984306335449219,0.08319830894470215,0.12868905067443848,0.4094085693359375,0.101955391393378,./Data/Curated/LightLoad/Experiment2.csv,LightLoad
107,0.8152256608009338,-1.0211269855499268,-0.4330512285232544,0.5880757570266724,-0.09636661782860756,0.29568392038345337,0.5195417404174805,1.8363526463508606,0.4378464191610329,1.5550339818000793,-1.1563993841409683,-0.5368997342884541,0.6194996498525143,-0.082599937915802,0.47105920035392046,1.0839747814461589,2.7114333659410477,0.643465436193668,0.6332663297653198,-0.08259996026754379,0.15562310814857483,0.23822306841611862,0.2968810200691223,0.3878606855869293,0.2454056441783905,0.7158662900328636,0.15042814630724108,0.5039794631302357,-0.5434837862849236,-0.18046295642852783,0.3630208298563957,0.008978252531960607,0.17747020348906517,0.3265092596411705,1.0474632494151592,0.23103505210431588,10.188525199890137,9.103952407836914,9.537002801895142,0.43305039405822754,9.654618263244629,9.805452823638916,0.3830723762512207,1.0845727920532227,0.19909456674796389,0.6631937026977539,-0.6763620376586914,-0.19333219528198242,0.483029842376709,-0.0017957687377929688,0.21039032936096191,0.452803373336792,1.3395557403564453,0.2701301193746386,./Data/Curated/HeavyLoad/Experiment48.csv,HeavyLoad
88,0.7553706169128418,-1.0426748991012573,-0.39953240752220154,0.6431424915790558,-0.09277531504631042,0.21218612790107727,0.5431844890117645,1.7980455160140991,0.40601875813027605,1.637634038925171,-1.4856021404266357,-0.5737105682492256,0.9118915721774101,0.04010287392884493,0.5018845153972507,1.1357495235279202,3.1232361793518066,0.6703773257157191,0.6751648783683777,-0.047884032130241394,0.16220716759562492,0.21009119972586632,0.25677812099456787,0.400130957365036,0.2750339210033417,0.7230489104986191,0.17185429772611924,0.6045359373092651,-0.702698215842247,-0.18914193287491798,0.513556282967329,0.016759410500526428,0.19782090932130814,0.406715027987957,1.3072341531515121,0.2677873044850512,10.085575103759766,9.257181167602539,9.55436086654663,0.2971796989440918,9.68813705444336,9.806949377059937,0.2786257266998291,0.8283939361572266,0.16697538146409113,0.5674257278442383,-0.6057329177856445,-0.17357969284057617,0.43215322494506836,-0.01975250244140625,0.17926621437072754,0.38815951347351074,1.1731586456298828,0.23951644149557852,./Data/Curated/HeavyLoad/Experiment29.csv,HeavyLoad
176,0.8702923059463501,-1.035492181777954,-0.48961424827575684,0.5458779335021973,-0.07900865375995636,0.30196869373321533,0.5683236122131348,1.9057844877243042,0.47251809619477625,1.2880805432796478,-1.337161660194397,-0.7317278981208801,0.6054337620735168,-0.017956512048840523,0.7613561227917671,0.5267244204878807,2.625242203474045,0.7796632097313899,0.6165069341659546,-0.021547814831137657,0.15412673354148865,0.1756745483726263,0.31364041566848755,0.39294835925102234,0.22355857491493225,0.6380547489970922,0.15654334453051513,0.4548983240965754,-0.57221420109272,-0.16460135951638222,0.4076128415763378,0.017357975244522095,0.17148470878601074,0.28341361531056464,1.0271125251892954,0.230182737705509,10.111910820007324,9.271546363830566,9.592967510223389,0.32142114639282227,9.674370765686035,9.762357711791992,0.34955310821533203,0.8403644561767578,0.13226633960028608,0.48602294921875,-0.5590457916259766,-0.11492156982421875,0.4441242218017578,-0.0029931068420410156,0.1322798728942871,0.3537430763244629,1.0450687408447266,0.18664651582222158,./Data/Curated/LightLoad/Experiment57.csv,LightLoad
179,0.8236053586006165,-1.0402805805206299,-0.4821323752403259,0.558148205280304,-0.08918401598930359,0.31274259090423584,0.5108627676963806,1.8638859391212463,0.46782389947048436,1.2832921147346497,-1.3251906633377075,-0.7460930943489075,0.5790975689888,0.01496376097202301,0.7003039941191673,0.5829881206154823,2.608482778072357,0.7672789690319898,0.6093243360519409,-0.03711012750864029,0.15682020783424377,0.19393033534288406,0.3100491166114807,0.3998316824436188,0.20949265360832214,0.6464344635605812,0.15557578215517767,0.43933600932359695,-0.5913678240031004,-0.16789338958915323,0.42347443441394717,0.030526086688041687,0.16789338737726212,0.27144262194633484,1.0307038333266973,0.2264029512510298,10.005369186401367,9.319430351257324,9.579200744628906,0.25977039337158203,9.684545516967773,9.759963035583496,0.2454061508178711,0.685938835144043,0.1282044650529609,0.4034233093261719,-0.49320507049560547,-0.12479782104492188,0.3684072494506836,0.01675891876220703,0.1400604248046875,0.2633628845214844,0.8966283798217773,0.18161091662198237,./Data/Curated/LightLoad/Experiment60.csv,LightLoad
128,0.08379705995321274,-0.36990416049957275,-0.17298106849193573,0.19692309200763702,-0.058059390634298325,0.004788403399288654,0.07900865655392408,0.4537012204527855,0.11582765670224804,0.45250412076711655,-0.4513070210814476,-0.13587095006369054,0.31543607101775706,0.0,0.14065934694372118,0.31184477382339537,0.9038111418485641,0.1995620237089852,0.46806642413139343,0.023942016065120697,0.1711854189634323,0.14724340289831161,0.2890998423099518,0.33848026394844055,0.12958616018295288,0.44412440806627274,0.1008044717604863,0.414196889847517,-0.40940848365426064,-0.13168108463287354,0.2777273990213871,-0.001795649528503418,0.139761533588171,0.274435356259346,0.8236053735017776,0.17479475154643487,9.886856079101562,9.411606788635254,9.58368992805481,0.17208313941955566,9.676764965057373,9.749488592147827,0.13736748695373535,0.4752492904663086,0.10756243547381625,0.4417304992675781,-0.4513072967529297,-0.06613993644714355,0.38516736030578613,-0.00119781494140625,0.06524229049682617,0.37648820877075195,0.8930377960205078,0.16754374937167568,./Data/Curated/LightLoad/Experiment9.csv,LightLoad
152,0.4884171485900879,-0.5027823448181152,-0.18794482946395874,0.3148375153541565,-0.08140286058187485,-0.010175357107073069,0.49859250569716096,0.9911994934082031,0.1638764690688217,0.6703764796257019,-0.6224924474954605,-0.14754268061369658,0.47494976688176394,0.015562310814857483,0.13766659749671817,0.5327098821289837,1.2928689271211624,0.22642214766447935,0.5339069962501526,0.0586579404771328,0.20231004059314728,0.14365210011601448,0.2651578485965729,0.34356793761253357,0.19033905863761902,0.4752490557730198,0.09219022472999536,0.3842693641781807,-0.3471592366695404,-0.09127894043922424,0.25588029623031616,0.001795649528503418,0.09935937821865082,0.2849099859595299,0.7314286008477211,0.13491365286610416,9.93593692779541,9.374496459960938,9.594464302062988,0.21996784210205078,9.6803560256958,9.750386238098145,0.18555068969726562,0.5614404678344727,0.11188551733822501,0.46327781677246094,-0.46567249298095703,-0.11791467666625977,0.34775781631469727,0.0023946762084960938,0.12090682983398438,0.34237098693847656,0.928950309753418,0.18277268550645484,./Data/Curated/LightLoad/Experiment33.csv,LightLoad
22,-0.07661445438861847,-0.10055647045373917,-0.09217676520347595,0.008379705250263214,-0.08978256583213806,-0.08619125932455063,0.00957680493593216,0.023942016065120697,0.004591983429279239,0.021547816693782806,-0.019153617322444916,-0.003591306507587433,0.015562310814857483,0.0,0.00389057956635952,0.017657237127423286,0.04070143401622772,0.006182655338299548,0.16519992053508759,0.13407529890537262,0.14604631066322327,0.011971011757850647,0.14844051003456116,0.152031809091568,0.013168111443519592,0.031124621629714966,0.004469252019449187,0.016759410500526428,-0.01915360987186432,-0.00359131395816803,0.015562295913696289,0.0,0.0038905851542949677,0.01286882534623146,0.03591302037239075,0.006041050722759947,9.710882186889648,9.677363395690918,9.68694019317627,0.009576797485351562,9.690531730651855,9.694122314453125,0.016759872436523438,0.03351879119873047,0.005550223942884008,0.023941993713378906,-0.025139808654785156,-0.004788398742675781,0.020351409912109375,0.0,0.004788398742675781,0.019153594970703125,0.04908180236816406,0.007664232267061051,./Data/Curated/Off/Experiment23.csv,Off
38,-0.07781155407428741,-0.10295066982507706,-0.09247604012489319,0.010474629700183868,-0.08978256583213806,-0.08619125932455063,0.008379705250263214,0.025139115750789642,0.005120758110167341,0.019153617322444916,-0.02274491637945175,-0.004788406193256378,0.017956510186195374,0.0,0.004788406193256378,0.014365211129188538,0.04189853370189667,0.007059743244173076,0.16639702022075653,0.1388636976480484,0.15083470940589905,0.011971011757850647,0.15322890877723694,0.15592238306999207,0.010474637150764465,0.02753332257270813,0.004385592658617708,0.016759410500526428,-0.020350709557533264,-0.003591299057006836,0.016759410500526428,0.0,0.003591299057006836,0.013168111443519592,0.03711012005805969,0.006111094594956728,9.713275909423828,9.673771858215332,9.68813705444336,0.014365196228027344,9.691728591918945,9.695320129394531,0.017955780029296875,0.039504051208496094,0.00647580842572893,0.02992725372314453,-0.02513885498046875,-0.005986213684082031,0.01915264129638672,0.0,0.005985260009765625,0.023941993713378906,0.05506610870361328,0.009711554998078131,./Data/Curated/Off/Experiment39.csv,Off
14,-0.07781155407428741,-0.10534487664699554,-0.09457096457481384,0.010773912072181702,-0.090979665517807,-0.08738835901021957,0.00957680493593216,0.02753332257270813,0.004654581977329285,0.023942016065120697,-0.015562310814857483,-0.004788406193256378,0.010773904621601105,0.0,0.004788398742675781,0.019153617322444916,0.03950432687997818,0.006438456857551269,0.16160862147808075,0.13287819921970367,0.14365209639072418,0.010773897171020508,0.1472434103488922,0.1496376097202301,0.011971011757850647,0.028730422258377075,0.004461048499704239,0.020350724458694458,-0.015562310814857483,-0.004788398742675781,0.010773912072181702,0.0,0.004788398742675781,0.015562325716018677,0.03591303527355194,0.006322823970075432,9.712079048156738,9.678560256958008,9.68933391571045,0.010773658752441406,9.691728591918945,9.695320129394531,0.01675891876220703,0.03351879119873047,0.005056838408165908,0.022745132446289062,-0.026336669921875,-0.004788398742675781,0.02154827117919922,0.0,0.004788398742675781,0.01795673370361328,0.04908180236816406,0.007093555310139242,./Data/Curated/Off/Experiment15.csv,Off
111,0.8212111592292786,-0.9145850539207458,-0.4489128291606903,0.46567222476005554,-0.12030863761901855,0.3097498416900635,0.5114613175392151,1.7357962131500244,0.4434791295568591,1.3515268564224243,-1.398213803768158,-0.5225345157086849,0.875679288059473,0.03591303527355194,0.5234323237091303,0.828094532713294,2.7497406601905823,0.6576611456769881,0.5877765417098999,-0.1173158809542656,0.14694413542747498,0.26426001638174057,0.29867666959762573,0.42766427993774414,0.16011226177215576,0.7050924226641655,0.1710100131196728,0.5805939063429832,-0.6584054753184319,-0.2029086034744978,0.45549687184393406,0.029328972101211548,0.205003522336483,0.37559038400650024,1.238999381661415,0.27312352131085693,10.220847129821777,9.121908187866211,9.530418872833252,0.408510684967041,9.660005569458008,9.81263542175293,0.40821170806884766,1.0989389419555664,0.2086213656160497,0.6296758651733398,-0.8224086761474609,-0.20410513877868652,0.6183035373687744,0.02753305435180664,0.21338343620300293,0.4162924289703369,1.4520845413208008,0.29426741196227274,./Data/Curated/HeavyLoad/Experiment52.csv,HeavyLoad
84,0.768538773059845,-1.0462661981582642,-0.395043283700943,0.6512229144573212,-0.08858546614646912,0.21697452664375305,0.5515642464160919,1.8148049712181091,0.40181184897536415,1.6915035843849182,-1.4700398445129395,-0.5210381336510181,0.9490017108619213,-0.020949259400367737,0.5126584246754646,1.1788451597094536,3.1615434288978577,0.6593837141719894,0.9014169573783875,-0.017956512048840523,0.1445499211549759,0.16250643320381641,0.25258827209472656,0.3965396583080292,0.5048772990703583,0.919373469427228,0.17671038075485773,0.6129156574606895,-0.9121908647939563,-0.18195931613445282,0.7302315486595035,0.022146370261907578,0.19393035769462585,0.4189852997660637,1.5251065222546458,0.26609212997397136,10.08078670501709,9.277531623840332,9.564835548400879,0.2873039245605469,9.673173427581787,9.81143856048584,0.26934814453125,0.8032550811767578,0.16925338064250736,0.6177034378051758,-0.5973529815673828,-0.1663970947265625,0.4309558868408203,-0.012569427490234375,0.18824458122253418,0.4294588565826416,1.2150564193725586,0.24644176423089087,./Data/Curated/HeavyLoad/Experiment25.csv,HeavyLoad
167,0.8667010068893433,-1.0558429956436157,-0.4821323752403259,0.5737106204032898,-0.07182604819536209,0.3196259140968323,0.547075092792511,1.922544002532959,0.4808818187551789,1.4041992723941803,-1.3646950125694275,-0.7341220937669277,0.6305729188024998,0.0,0.7350199222564697,0.6691793501377106,2.768894284963608,0.7847658459219445,0.628477931022644,-0.031124621629714966,0.1628057211637497,0.19393034279346466,0.30945056676864624,0.3917512595653534,0.23672667145729065,0.659602552652359,0.15704451888887772,0.434547605458647,-0.5817910227924585,-0.16160861030220985,0.4201824124902487,0.026934772729873657,0.17178397392854095,0.26276363153010607,1.0163386282511055,0.2271625503390418,10.097545623779297,9.282320022583008,9.588777542114258,0.30645751953125,9.671378135681152,9.755773305892944,0.34177231788635254,0.8152256011962891,0.1269232327117703,0.4381389617919922,-0.5219354629516602,-0.10564398765563965,0.4162914752960205,-0.007182598114013672,0.12808990478515625,0.31004905700683594,0.9600744247436523,0.17857628351909338,./Data/Curated/LightLoad/Experiment48.csv,LightLoad
